TemplateType=fptcustom	Version=2019.0112	Category=clothing	TemplateSignature=T1VURVJXRUFSLFNXRUFURVIsU0tJUlQsU0hPUlRTLE9SQ0FfU0hJUlQsVU5ERVJXRUFSLFNMRUVQV0VBUixTT0NLU0hPU0lFUlksQkxBWkVSLEFEVUxUX0NPU1RVTUUsU0hJUlQsQkFCWV9DT1NUVU1FLFNVSVQsU1dJTVdFQVIsQlJBLERSRVNTLEFDQ0VTU09SWSxMVUdHQUdFLEhBVCxQQU5UUw==																													
Seller SKU	Product Name	Product ID	Product ID Type	Brand Name	Product Description	Item Type Keyword	Standard Price	Fulfillment Latency	Quantity	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Key Product Features6	Key Product Features7	Search Terms	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Parentage	Parent SKU	Relationship Type	Variation Theme	Color	Color Map	Department	Fabric Type	Size	Shipping-Template	Size Map
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	item_type	standard_price	fulfillment_latency	quantity	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	bullet_point6	bullet_point7	generic_keywords	main_image_url	other_image_url1	other_image_url2	other_image_url3	parent_child	parent_sku	relationship_type	variation_theme	color_name	color_map	department_name	fabric_type	size_name	merchant_shipping_group_name	size_map
Allntrends-X44-CM1-8001-P	Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 rib collar, shoulder-to-shoulder tape; double-needle stitched bottom. Best Quality Fabric, Soft and Comfortable.  Adult Women's Sizes- For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results. All Sizes and Cool Colors Are Available!"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Parent			Sizecolor		Green	womens	50% Cotton/50% Polyester			
Allntrends-X44-CM1-8001-IG-S	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (S, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	S		Small
Allntrends-X44-CM1-8001-IG-M	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (M, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	M		Medium
Allntrends-X44-CM1-8001-IG-L	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (L, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	L		Large
Allntrends-X44-CM1-8001-IG-XL	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (XL, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	XL		X-Large
Allntrends-X44-CM1-8001-IG-2XL	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (2XL, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	2XL		XX-Large
Allntrends-X44-CM1-8001-IG-3XL	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (3XL, Irish Green)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/z3vrytwbxacyc51/irish%20green.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Irish Green	Green	womens	50% Cotton/50% Polyester	3XL		XXX-Large
Allntrends-X44-CM1-8001-AS-S	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (S, Ash)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/5x6apr76ax8mlat/ash.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Ash	Green	womens	50% Cotton/50% Polyester	S		Small
Allntrends-X44-CM1-8001-AS-M	"Allntrends Women's T Shirt Stranger Xmas Funny Ugly Christmas Shirt (M, Ash)"			ALLNTRENDS	"Cool Women's T Shirt with the print of Stranger Xmas.  Cute Women's regular fit t shirt made of 50% Cotton, 50% Polyester. high-density fabric, double-needle cover stitched front neck; seamless 1x1 ri"	fashion-t-shirts	14.94	3	100	"Double-needle stitching throughout; seamless rib at neck, feminine ½"" rib mid scoop neck; side seamed with slightly tapered Missy fit, cap sleeves for comfort, taped shoulder-to-shoulder.  Ash color is 99% cotton, 1% polyester."	"Made of 100% preshrunk cotton. The colors Safety Green, Safety Orange, Safety Pink are 50% cotton/ 50% polyester."	Designed and printed in the USA.	"Best Quality Fabric, Cozy Soft and Comfortable. This high quality product can be washed as you wish and exactly as you always wash your other cloths. From years of experience, we recommend to wash it inside-out with cold water and no dryer for best results."	"Adult Women's Sizes. For best fit and easy way to choose your perfect size please refer to the picture we've created with the size chart and guide. Do not confuse with the size chart Amazon offers-  It's different than ours! If you need any more information or have any concerns or questions, please don't hesitate and contact us. We are always here for you!"	"Cool print- We are doing the best to offer the best, greatest trending graphics you can wear any place, any time. Each print comes on variety types of clothing to fit any occasion, any weather. We also accept special requests, feel free to contact us if you have something on your mind you want to create. We always think on the next hot graphic so don't forget to check us out from time to time!"	"***WE CARE about you and want to make sure our hard work will work for you! After selecting your size, make sure ""sold by ALLNTRENDS"" appears above the ""Add to Cart"" button. It doesn't? no worries! Just choose our name from the list below the buy box to make sure you will receive the original great product from us. ***"	"Upside Down Shadow Monster Ugly Sweater, Stranger Things Christmas Sweaters, Hawkins Xmas Tshirt, Steve Harrison Shirt, AV Club,  Stranger of Things Fans Holiday Gift, Camp Know Where 85 Tee, Stranger Monster Hoodie, Waffle Top, Roast Beach Cow Tee"	https://dl.dropboxusercontent.com/s/5x6apr76ax8mlat/ash.png?dl=0	https://dl.dropboxusercontent.com/s/zbiagl80t76hu7p/__Instructions-Women-T-Shirt-5000L.jpg	https://dl.dropboxusercontent.com/s/ecvc0k6mbcxvf5s/33423_b_fl.jpg		Child	Allntrends-X44-CM1-8001-P	Variation	Sizecolor	Ash	Green	womens	50% Cotton/50% Polyester	M		Medium
